.geo,LST,NDVI,NDBI,Albedo,Elevation,Population,LULC,AirTemp,dewPoint,WindSpeed,Rainfall,WaterDistance,BuiltupDensity
"{""type"":""Point"",""coordinates"":[77.30107276113506,28.449497614314755]}",40.43449903999999,0.2809724170172978,-0.012899300273805902,13678.5,215,82.9895248413086,50,29.447683218372617,,0.7843111083649769,650.1390920184882,445,3
"{""type"":""Point"",""coordinates"":[76.91464396146945,28.63516559934731]}",38.67592775000003,0.4144797573519715,-0.03304927518002578,12976.5,212,11.262714385986328,40,29.71709552806817,,0.7234705111502765,606.8192101530731,484,2
"{""type"":""Point"",""coordinates"":[77.02866190288336,28.750150828217095]}",39.598793150000006,0.27010723860589814,-0.03843706060830312,13723.666666666666,222,13.857982635498047,40,29.52325592041018,,0.8770010484505348,653.2231597574428,122,2
"{""type"":""Point"",""coordinates"":[77.36745906696827,28.562963735865026]}",40.72503074000002,0.13477619281849484,-0.002916560994166878,13740.833333333334,204,82.79978942871094,50,29.380609829521916,,0.9157010326165149,689.0155186988413,10170,5
"{""type"":""Point"",""coordinates"":[76.96725915239995,28.837674319314033]}",40.31657734999999,0.39633286318758815,-0.05145232422568054,12321.666666666666,219,15.071880340576172,50,29.52325592041018,,0.8770010484505348,668.2913491446525,208,2
"{""type"":""Point"",""coordinates"":[77.36900592392664,28.841425498172747]}",38.64687458000003,0.1576152546463915,-0.027444892890406705,13692.333333333334,214,3.810715436935425,50,29.264820101671603,,1.0352820182969376,817.1857734378427,1781,2
"{""type"":""Point"",""coordinates"":[77.05447531044885,28.549506351195188]}",43.77732260000005,0.10206760748276994,-0.01769812167926364,11997.833333333334,215,34.211395263671875,50,29.417867656330486,,0.748679270676576,656.7247385233641,178,4
"{""type"":""Point"",""coordinates"":[77.21398517516216,28.482781367915873]}",36.52086614000001,0.554988842843481,-0.056823145939043654,11580.5,270,18.02655601501465,20,29.297527791117602,,0.7866243703188661,692.7388915917836,370,2
"{""type"":""Point"",""coordinates"":[77.33851580272682,28.908120251241613]}",36.07652354000004,0.3461991056719228,-0.054692526886662374,12936.166666666666,222,2.3288094997406006,40,29.291456469860748,,1.0561950488680893,807.732822407037,3898,2
"{""type"":""Point"",""coordinates"":[77.3013994116871,28.409349364707904]}",42.020460319999984,0.34890965732087226,-0.025351602583449026,13811.666666666666,201,95.17908477783203,50,29.447683218372617,,0.7843111083649769,650.1390920184882,2925,3
