NDVI,NDBI,Albedo,Elevation,Population,LULC,AirTemp,WindSpeed,Rainfall,WaterDistance,BuiltupDensity,Latitude,Longitude
0.2394263490520175,-0.0135537190082644,13420.916666666666,212,30.6728515625,50,29.71709552806817,0.7234705111502765,594.8005388118327,218,2,28.5920635820552,76.91037523276859
0.2757933873323596,-0.0557842164343002,12548.25,221,10.04687213897705,40,29.18405874063683,1.0889018500749688,827.563648974523,725,2,28.956229159508396,77.29085438016908
0.30481958112541,0.006695549428909,13597.166666666666,217,3.047301769256592,40,29.60546245085891,0.7732941245550061,647.2837000861764,797,2,28.720041500841944,76.90831130857664
0.2905149673127652,-0.0048756421046521,13975.5,225,16.581714630126953,40,29.18405874063683,1.0889018500749688,827.563648974523,592,2,28.974037267226333,77.26490047033737
0.1571471441432429,0.040976701147679,15200.25,213,3.760462760925293,40,29.57816699241107,0.8131034122325186,643.5060963388532,106,2,28.733124164578076,76.95534080777452
0.1633678597066967,0.0433452903262687,14794.833333333334,209,25.098220825195312,40,29.71709552806817,0.7234705111502765,594.8005388118327,170,2,28.594804446851615,76.90398255086015
0.1830432341381246,-0.0235060029677593,12682.833333333334,217,204.80323791503903,50,29.48856291159609,0.800208678714508,672.7797542698681,2042,6,28.613649305696615,77.09683835362479
0.248162408120406,-0.0362852302479593,13291.083333333334,219,10.804689407348633,50,29.4655028011336,0.922810629469298,741.6688812430948,130,2,28.859875246996,77.04296297741728
0.175438596491228,-0.0053119744225933,12872.75,217,2.2054734230041504,40,29.395102660909288,1.029567273669195,897.8696788847446,800,2,28.904579275758877,77.21186200293725
0.1617351335823039,-0.0511124295461287,13678.416666666666,221,2.530482769012451,40,29.41537348708829,0.98802609376292,697.0058918297291,117,2,28.953014387934374,76.98504639585403
0.3977516059957173,-0.0695726118862398,12736.166666666666,198,13.67852020263672,50,29.443236818418427,0.8661547304951221,681.69528093189,2405,3,28.5058874705493,77.37537130995578
0.1905965621840242,0.0138836299381547,13372.833333333334,202,77.00088500976562,60,29.37837679237674,0.8260942800860396,652.4586846940219,1025,3,28.48600256811231,77.33912766710614
0.1961399276236429,-0.016985813346905,13368.0,204,203.1371154785156,50,29.447683218372617,0.7843111083649769,650.1390920184882,4930,5,28.4081308850059,77.30899930508235
0.1362763915547025,-0.0107834981668053,13541.5,227,37.86845397949219,50,29.41786765633049,0.748679270676576,656.7247385233641,1009,2,28.53862863049471,77.08944684280064
0.476807157993878,-0.0731520598826164,13432.0,251,34.33771896362305,30,29.41786765633049,0.748679270676576,654.4748678281903,1220,2,28.50024321078186,77.10484063606997
0.4035635323188971,-0.0456079802612657,13143.583333333334,215,11.641857147216797,40,29.45456744742484,0.9802558352608556,734.0162243479863,5329,2,28.933445876497665,77.13050691654396
0.3182938856015779,-0.0391435681530058,13172.416666666666,220,17.779199600219727,40,29.30278888744317,1.0734279896667425,861.278739057947,3848,2,28.996327091164634,77.22354228461165
0.2569576394322119,-0.0434322674242882,13635.75,212,5.126742839813232,60,29.45456744742484,0.9802558352608556,721.8445928022265,3349,2,28.937566716360937,77.0647721596065
0.3878994568649741,-0.05113584387864,13272.0,213,3.388444185256958,40,29.71709552806817,0.7234705111502765,601.9743723683059,1313,2,28.628824474499798,76.86750622139806
0.2233967582804792,-0.0138091720179576,14713.166666666666,213,14.684009552001951,40,29.71709552806817,0.7234705111502765,594.8005388118327,725,2,28.57786773412425,76.89986290089571
0.4145854145854146,-0.0578212290502793,12957.916666666666,217,110.93304443359376,40,29.50609542790789,0.8656984199962716,688.0459042843431,740,2,28.72156739787169,77.06657749060393
0.3958714397700549,-0.0768993966260312,12908.833333333334,224,3.2814438343048096,40,29.34735394152966,1.0123869247814905,843.8962230607867,73,2,28.839808936188895,77.30957469422167
0.1034802784222737,-0.0114011354217168,13453.5,210,2.6408653259277344,40,29.395102660909288,1.029567273669195,814.1430475506932,0,2,28.881827202210165,77.19253513213269
0.3808870598994056,-0.0312569406399455,13411.166666666666,240,33.67173385620117,40,29.41786765633049,0.748679270676576,656.7247385233641,2122,2,28.507905407654533,77.10011458869218
0.2880080280983442,-0.0814595395179749,12237.083333333334,218,192.9481964111328,10,29.50609542790789,0.8656984199962716,724.9800134077668,392,5,28.712621687862573,77.12605994144293
0.3334996258418558,-0.0369646788848575,13090.583333333334,209,26.21454620361328,40,29.41987086145872,0.9152883168635728,799.2617366053164,18,2,28.742365725121687,77.24304976372437
0.3432532972607372,-0.0481330543011344,11652.666666666666,201,215.17300415039065,50,29.38691187708372,0.8781144679887717,746.4490436483175,170,3,28.604546888401092,77.3275549644105
