NDVI,NDBI,Albedo,Elevation,Population,LULC,AirTemp,WindSpeed,Rainfall,WaterDistance,BuiltupDensity,Latitude,Longitude
0.39733705544558395,0.5038033701240902,0.3008238385227384,0.2272727272727273,0.03581003794654867,0.5,0.9057763846337679,0.208081982775989,0.14011729491921399,0.00889795918367347,0.0,0.3197567684402074,0.18395076804310406
0.4339612804322761,0.4091943147353511,0.2365374226500343,0.2954545454545454,0.010681160507335545,0.375,0.12338512993783013,1.0,0.8005242659541387,0.02959183673469388,0.0,0.9265563937931063,0.8181072441085178
0.4631927466789689,0.5491678407299438,0.31380758275218534,0.26515151515151514,0.0021535002039776673,0.375,0.7419213836230298,0.31605361228787454,0.2890251074299721,0.032530612244897956,0.0,0.5330030442588551,0.1805107611429264
0.448786971026206,0.5232448806078245,0.3416781259208328,0.3257575757575757,0.018642637277616364,0.375,0.12338512993783013,1.0,0.8005242659541387,0.02416326530612245,0.0,0.9562295802789365,0.7748490521380802
0.3144759742358452,0.6259679633766481,0.4319013358216286,0.23484848484848486,0.003022352770253017,0.375,0.7018571169794185,0.402323422253934,0.27830710384771984,0.004326530612244898,0.0,0.5548023464038323,0.2588962960302297
0.32074068253069965,0.63127431775201,0.40203565465082014,0.20454545454545459,0.029018398641079354,0.375,0.9057763846337679,0.208081982775989,0.14011729491921399,0.0069387755102040816,0.0,0.32432380012738804,0.17329588548420816
0.34055520067537737,0.48150725140047274,0.24645172379923386,0.26515151515151514,0.24795517041504628,0.5,0.5703362710120317,0.3743795359133064,0.36136376927817215,0.08334693877551021,1.0,0.3557244980377874,0.4947346741946319
0.40613489568627903,0.4528779267353946,0.2912594538846872,0.2803030303030303,0.011604418349652163,0.5,0.5364886470138472,0.640067459765775,0.5568193964599459,0.005306122448979592,0.0,0.7660043767059861,0.4049389023215042
0.33289678323771765,0.5222673645719715,0.26044224535900207,0.26515151515151514,0.0011278906606215005,0.375,0.43315533993330035,0.8714173769596423,0.9999999999999998,0.0326530612244898,0.0,0.840493536540329,0.6864481823081121
0.31909640981152876,0.41966052686656097,0.3197929967586681,0.2954545454545454,0.0015238534343032773,0.375,0.46290885320269126,0.7813944223840288,0.4300993610762047,0.004775510204081633,0.0,0.9211997035744588,0.30840752728863663
0.5567819843034904,0.37830414889444064,0.25038061094195063,0.1212121212121211,0.015105640781468985,0.5,0.5038066435117798,0.5172897382061048,0.38665934104610233,0.09816326530612245,0.25,0.17616375632233172,0.9589742501654541
0.34816194565193626,0.5652713097508575,0.2972817012081328,0.15151515151515138,0.09225203522539895,0.625,0.4086051145537013,0.4304756391460369,0.30370782887853376,0.04183673469387755,0.25,0.1430300608387256,0.898565838860037
